Experiment,Virus,Timepoint,IFNaConc,Replicate,TotalEventsCount,SingletsCount,PercLiveCells,LiveCellsCount,PerInfectedofLiveCells,CountInfectedCellsofLiveCells,CountNonInfectedofLiveCells,PercDeadCells,CountDeadCells,PercInfectedofDeadCells,CountInfectedofDeadCells,CountNoninfectedofDeadCells, SampleID, CellsPerUL,  TotalVolume, AcquisitionTime,CellsInExperimentInCellsPerUl
ES_IFNa_moredoses,CH058-TF,8,0.3,1,18968,16631,21,3491,92.5,3230,261,79,13135,44.3,5820,7315, A07,195.1645766,97.18976842,164.7284211,390.3291531
ES_IFNa_moredoses,CH058-TF,8,0.3,2,18813,16574,26.2,4350,93.3,4057,293,73.7,12219,43,5249,6970, C07,193.799288,97.07466004,164.5333221,387.598576
ES_IFNa_moredoses,CH058-TF,8,0.3,3,17984,15864,21.5,3416,94.5,3229,187,78.4,12444,44.7,5568,6876, E07,185.2634897,97.07255343,164.5297516,370.5269793
ES_IFNa_moredoses,CH058-TF,8,0.3,4,18014,15886,22.9,3645,93,3391,254,77,12238,44,5383,6855, G07,185.5690986,97.074352,164.5328,371.1381972
ES_IFNa_moredoses,CH058-6MO,8,0.3,1,20000,18222,48.4,8815,82.6,7284,1531,51.6,9399,39.8,3742,5657, A08,253.6361757,78.85310501,133.6493305,507.2723515
ES_IFNa_moredoses,CH058-6MO,8,0.3,2,20000,18293,50.1,9160,81.4,7455,1705,49.9,9129,36.6,3344,5785, C08,256.228578,78.05530577,132.2971284,512.4571559
ES_IFNa_moredoses,CH058-6MO,8,0.3,3,14944,13661,46.9,6406,84.5,5411,995,53.1,7254,37,2681,4573, E08,153.7595322,97.19072236,164.7300379,307.5190643
ES_IFNa_moredoses,CH058-6MO,8,0.3,4,18611,16981,45.8,7775,86.6,6732,1043,54.2,9203,36.1,3325,5878, G08,191.7182977,97.07471966,164.5334232,383.4365953
ES_IFNa_moredoses,CH058-TF,8,0.4,1,20000,18436,53.2,9812,73.7,7228,2584,46.8,8620,31,2669,5951, A09,229.6983826,87.07070451,147.5774653,459.3967653
ES_IFNa_moredoses,CH058-TF,8,0.4,2,20000,18234,52,9480,73.2,6944,2536,48,8748,30,2627,6121, C09,247.3227278,80.86600118,137.0610189,494.6454557
ES_IFNa_moredoses,CH058-TF,8,0.4,3,20000,18074,47.8,8632,79.2,6838,1794,52.2,9438,33.4,3150,6288, E09,238.8782419,83.72466173,141.9062063,477.7564839
ES_IFNa_moredoses,CH058-TF,8,0.4,4,20000,18131,48.6,8811,80.7,7107,1704,51.3,9310,32.7,3044,6266, G09,227.8796959,87.76560775,148.7552674,455.7593917
ES_IFNa_moredoses,CH058-6MO,8,0.4,1,20000,18790,66.7,12539,33,4144,8395,33.3,6251,13.9,870,5381, A10,319.3159322,62.63389322,106.1591411,638.6318644
ES_IFNa_moredoses,CH058-6MO,8,0.4,2,20000,18824,68.1,12817,31.9,4095,8722,31.9,6006,14.8,890,5116, C10,311.2021225,64.26691385,108.9269726,622.4042451
ES_IFNa_moredoses,CH058-6MO,8,0.4,3,20000,18873,67,12653,32.4,4095,8558,32.9,6218,14.9,927,5291, E10,310.4616753,64.42018964,109.1867621,620.9233506
ES_IFNa_moredoses,CH058-6MO,8,0.4,4,20000,18761,65.4,12262,34.2,4192,8070,34.6,6498,13.7,893,5605, G10,313.5407565,63.78756059,108.1145095,627.0815129
ES_IFNa_moredoses,CH058-TF,8,0.5,1,20000,18378,58.9,10826,43,4655,6171,41.1,7551,21.6,1628,5923, A11,243.5299971,82.12540648,139.1956042,487.0599941
ES_IFNa_moredoses,CH058-TF,8,0.5,2,20000,18525,68.9,12761,34.1,4356,8405,31.1,5762,16.3,940,4822, C11,272.5554471,73.37956446,124.3721432,545.1108942
ES_IFNa_moredoses,CH058-TF,8,0.5,3,20000,18439,67.2,12395,36.8,4563,7832,32.8,6039,18.2,1097,4942, E11,272.5431202,73.38288337,124.3777684,545.0862403
ES_IFNa_moredoses,CH058-TF,8,0.5,4,20000,18506,65.3,12091,37.9,4586,7505,34.6,6412,18.2,1167,5245, G11,255.8198273,78.18002307,132.5085137,511.6396546
ES_IFNa_moredoses,CH058-6MO,8,0.5,1,20000,18673,69.8,13042,8.33,1087,11955,30.1,5625,3.32,187,5438, A12,295.5639478,67.66725154,114.6902568,591.1278956
ES_IFNa_moredoses,CH058-6MO,8,0.5,2,20000,18788,75.5,14192,6.12,869,13323,24.4,4589,2.99,137,4452, C12,309.5824905,64.60313684,109.4968421,619.1649811
ES_IFNa_moredoses,CH058-6MO,8,0.5,3,20000,18718,75.2,14067,6.85,963,13104,24.8,4646,3.14,146,4500, E12,320.4461772,62.41297735,105.7847074,640.8923544
ES_IFNa_moredoses,CH058-6MO,8,0.5,4,20000,18737,72.1,13511,10.8,1464,12047,27.9,5221,5.67,296,4925, G12,303.3102416,65.93908564,111.7611621,606.6204833
ES_IFNa_moredoses,CH058-TF,9,0.2,1,13817,12179,9.46,1152,94.5,1089,63,90.5,11021,50.1,5524,5497, A05,142.1623071,97.19172598,164.7317389,284.3246143
ES_IFNa_moredoses,CH058-TF,9,0.2,2,13732,12087,8.03,971,92.9,902,69,92,11114,51.3,5704,5410, C05,141.4569149,97.07549474,164.5347368,282.9138298
ES_IFNa_moredoses,CH058-TF,9,0.2,3,14100,12372,7.86,972,92.9,903,69,92.1,11399,51.1,5824,5575, E05,145.2479276,97.07539537,164.5345684,290.4958552
ES_IFNa_moredoses,CH058-TF,9,0.2,4,14127,12415,9.82,1219,95.2,1160,59,90.1,11192,50.5,5651,5541, G05,145.3530085,97.19097078,164.7304589,290.706017
ES_IFNa_moredoses,CH058-6MO,9,0.2,1,16934,14436,21.6,3116,94.9,2956,160,78.4,11311,54,6110,5201, A06,174.2345772,97.19081179,164.7301895,348.4691544
